"PUNTO","Q1","Q2","Q3","Q4","Media","CoeficienteVar","Salto","Cluster"
240,60.0666666666667,60.0833333333333,60.15,2534.01666666667,115.752628497834,1.68718382401973,0.00768937671345942,1
242,60.05,60.0666666666667,60.1,2135.15,103.496688696131,1.60021631664036,0.00852132533019146,1
243,15.0333333333333,15.05,15.0666666666667,2474.51666666667,29.7355355054302,3.5444733309387,0.00834260564223134,2
276,15.0166666666667,15.0166666666667,15.0333333333333,30.15,14.851355661882,0.171718274977978,0.00971348181876758,2
277,15.0166666666667,15.0166666666667,15.0166666666667,30.1666666666667,15.1896551724138,0.156934198087339,0.00978325495919139,2
278,15.0333333333333,15.05,15.0666666666667,1153.71666666667,15.2743694679737,0.76347216268977,0.00359440613762126,2
245,60.0666666666667,60.0833333333333,60.1333333333333,2163.93333333333,114.821459412781,1.69864356272986,0.00697485959466244,1
246,60.0333333333333,60.05,60.1,4139.31666666667,111.825900493916,1.86633541431567,0.0133775655878245,1
247,60.0333333333333,60.0666666666667,60.0833333333333,2217.28333333333,107.750641025641,1.69718723370082,0.00719507452943508,1
248,60.0666666666667,60.0833333333333,60.1,3643.06666666667,117.6250473278,1.80559592084119,0.0135307389388945,1
249,60.0666666666667,60.0833333333333,60.15,57655.1333333333,138.422727272727,9.17227341600852,0.198246042638646,1
251,60.05,60.05,60.0666666666667,2998.66666666667,101.473882190404,1.64441017377141,0.011134558402931,1
250,60.0333333333333,60.05,60.0666666666667,2123.65,99.4011997046881,1.55737183285516,0.00788646373996227,1
279,4.6,9.63333333333333,16.2333333333333,38.4666666666667,11.7871794871795,0.850555107152149,0.251033282575593,2
280,60.0333333333333,60.0333333333333,60.05,198470.633333333,421.750918635171,18.6691412928073,0.741082389314388,4
302,60.0333333333333,60.0666666666667,60.1,2250.11666666667,111.984716157205,1.71400549032943,0.0109678326086815,1
281,60.0166666666667,60.0333333333333,60.0833333333333,8936.41666666667,95.0763671875,2.19294959902855,0.0333778362850388,1
273,60.05,60.0833333333333,60.35,23803.0666666667,87.4624128540305,5.04113576032888,0.0889385474582016,1
272,60.05,60.0666666666667,60.0833333333333,2042.43333333333,86.3176559139785,1.43808270557957,0.00763284701593589,1
274,60.05,60.0666666666667,60.0833333333333,28738.0333333333,92.1696291193019,5.86899319361834,0.107404423516327,1
275,60.05,60.0666666666667,60.0833333333333,1204.1,85.047520661157,1.29997855638087,0.00450030740825872,1
282,60.05,60.0666666666667,60.0833333333333,2096.55,104.595062229437,1.60886709113652,0.00813492096853111,1
283,60.0333333333333,60.0666666666667,60.0833333333333,2104.43333333333,106.535861926416,1.64317234565804,0.00816588914617612,1
284,60.0333333333333,60.0666666666667,60.0833333333333,2101.36666666667,103.626377161238,1.58848769025461,0.00815371896294204,1
285,60.0333333333333,60.05,60.0666666666667,2101.28333333333,102.104351558373,1.59994221132617,0.00815363025937995,1
263,60.0333333333333,60.05,60.05,2284.65,117.061129385965,1.77897469123744,0.00917139384726654,1
